2017-07-03 23:41:59,067 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:DVD
2017-07-03 23:41:59,068 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2017-07-03 23:41:59,069 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN_TYPE
2017-07-03 23:41:59,070 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2017-07-03 23:41:59,071 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN-EC
2017-07-03 23:41:59,073 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2017-07-03 23:41:59,073 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN_TYPE
2017-07-03 23:41:59,075 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [2] milliseconds
2017-07-03 23:41:59,078 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2017-07-03 23:41:59,081 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2017-07-03 23:41:59,082 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2017-07-03 23:41:59,082 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN-ST
2017-07-03 23:41:59,084 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductPrice
2017-07-03 23:41:59,085 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN_TYPE
2017-07-03 23:41:59,086 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN-SU
2017-07-03 23:41:59,087 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: deleted Lucene document: productId:SCAN_TYPE
